Second 1 X,Second 1 Y,Second 1 Z,Second 2 X,Second 2 Y,Second 2 Z,Second 3 X,Second 3 Y,Second 3 Z,Second 4 X,Second 4 Y,Second 4 Z,Second 5 X,Second 5 Y,Second 5 Z,Second 6 X,Second 6 Y,Second 6 Z,Second 7 X,Second 7 Y,Second 7 Z,Second 8 X,Second 8 Y,Second 8 Z,Second 9 X,Second 9 Y,Second 9 Z,Second 10 X,Second 10 Y,Second 10 Z,animal
0.292093,3.526659,7.539341,2.118869,0.299275,7.517793,6.066907,-6.979098,7.228095,5.061342,-7.149086,6.811504,5.252879,-6.756437,2.839523,5.521029,-6.497863,1.278504,7.594408,-8.315063,1.458069,1.49877,-17.683575,-0.670376,-3.890578,-17.125725,-0.064643,-3.557784,-16.869545,-0.957681,Wild_Boar
-0.433351,4.242526,8.640674,0.42138,4.426879,8.5473,-0.275333,4.596867,10.149021,0.258574,4.431667,9.792285,-0.217872,3.938462,8.607155,0.572214,3.801992,8.645462,0.031125,4.855441,8.406042,0.237026,4.544195,8.954314,-0.004788,4.383783,8.937555,0.124498,4.355053,9.009381,Deer
0.174777,2.911349,9.500193,0.064643,2.956839,9.275137,0.248997,2.899378,9.076419,0.098162,2.880225,9.449914,0.057461,2.875436,9.56723,0.138864,2.806004,9.442732,-0.04549,2.882619,9.346964,0.189142,2.791639,9.366117,0.093374,2.786851,9.423578,0.169988,2.834735,9.363723,Deer
-1.910573,4.493917,8.678981,-1.683124,4.491522,8.78672,-2.363077,4.745308,8.643068,-1.158794,4.915296,8.805874,-1.939303,4.728549,8.793902,-1.017536,4.48434,8.441956,-1.42455,4.13718,8.834604,-0.837971,4.41012,8.50181,-1.256956,4.182671,8.334216,-1.089362,4.256891,8.62152,Deer
-1.503559,3.569755,8.274361,-1.053449,3.466804,8.753201,-1.877054,3.49314,8.705317,-0.857124,3.277662,8.121132,-2.171541,3.356671,8.327033,-0.85473,3.251326,9.002198,-1.802834,3.521871,9.847352,-1.608904,3.430891,9.064447,-1.031901,3.066972,9.794679,-1.685518,2.911349,9.380483,Deer
-1.671153,3.526659,9.950302,-1.467646,3.13401,9.064447,-1.422156,2.767697,9.368511,-1.474828,2.741361,9.68694,-1.443704,2.834735,8.762778,-1.422156,2.425326,9.248801,-1.47004,2.382231,7.757214,-1.474828,2.504335,9.411607,-1.644817,2.401384,9.888053,-2.042254,2.48997,8.951921,Deer
-2.343924,3.591303,10.642226,-2.274492,2.762909,9.387665,-2.726996,2.760514,10.036493,-2.331953,3.325546,9.01417,-2.408567,2.597709,9.739613,-2.590526,1.980005,8.841787,-2.961627,2.169147,8.978256,-2.645593,2.262521,9.631873,-1.884237,2.092532,8.623915,-2.406173,2.133234,9.739613,Deer
-1.620875,3.641581,8.781932,-1.644817,3.684676,8.815451,-1.66397,3.564966,9.174581,-1.73819,3.497929,8.987833,-1.774103,3.378219,8.908825,-1.841141,3.323152,9.141062,-1.860295,3.423708,8.963891,-1.891419,3.457227,8.896853,-1.757344,3.473987,8.973468,-1.733402,3.536236,9.109938,Deer
-1.769315,8.432379,3.967192,-1.762132,8.027759,4.750096,-1.75495,7.369353,5.770026,-2.468422,8.224083,7.043741,-1.594538,7.520187,5.058948,-1.371878,7.843405,6.933608,-1.376666,7.934384,5.963956,-1.154005,7.489063,7.101202,-1.594538,7.302315,3.730166,-0.208296,8.401254,5.98311,Deer
-0.799663,7.338228,5.815516,0.339977,7.125144,5.216966,-0.23942,7.36217,6.864176,-0.732626,6.6894,6.47871,-0.440533,6.943185,6.162675,-1.221043,6.390124,6.07409,-0.442927,6.38773,7.651869,-1.714248,6.124368,7.726089,-1.096544,5.985504,6.569689,-1.276109,6.586449,7.872135,Deer
-1.96564,6.531382,7.524976,-2.389413,5.932832,7.515399,-1.927332,6.540959,7.36217,-1.228225,5.992687,7.21373,-1.419762,5.829881,8.738836,-1.25935,6.040571,8.767567,-0.840365,5.171476,5.331887,-1.889025,5.540183,8.121132,-1.489193,6.40449,6.720524,-1.307234,5.707777,6.904878,Deer
-1.201889,6.981492,6.052542,-1.015141,6.947973,6.926425,-0.92895,7.352593,8.149862,-0.768539,6.907272,7.615956,-0.385466,6.926425,7.874529,-1.058237,6.91206,11.089942,0.138864,6.878541,7.28795,-1.364695,5.700594,7.864953,-0.670376,6.208165,6.821081,-1.173159,6.040571,7.252037,Deer
-2.990358,6.540959,6.512228,-2.686294,7.146692,6.600814,-2.873042,6.696582,7.656657,-2.987964,7.074866,5.50427,-2.537854,6.435614,5.619191,-2.614468,7.204153,8.700529,-3.39019,6.397307,8.054094,-2.846706,5.65271,8.116343,-2.583344,6.01184,4.824317,-3.011906,5.83467,7.352593,Deer
-1.865083,6.035782,7.331046,-2.255338,6.380548,8.276755,-2.104503,6.754043,6.622362,-1.764527,6.876147,7.096414,-1.999158,6.916849,5.990293,-1.66397,6.203377,7.357382,-1.209072,6.23929,8.623915,-1.47004,5.928043,5.851429,-2.252944,6.05733,8.449138,-1.070208,6.160281,6.67264,Deer
-1.58975,5.525817,7.97748,-1.58975,5.482722,8.580819,-1.642422,5.434838,8.889671,-1.807622,5.516241,8.746018,-2.008735,5.430049,8.26239,-2.020706,5.228937,7.426814,-1.613692,5.051765,6.244078,-1.25935,5.588067,7.117962,-0.921768,5.621585,9.045294,-1.778892,5.50427,9.390059,Deer
-2.753332,6.746861,6.327875,-2.657564,6.088455,5.820304,-3.833117,5.930438,6.696582,-3.713407,7.280767,7.706935,-3.387795,7.101202,6.416461,-3.442862,6.272809,6.981492,-3.46441,6.835446,9.208099,-3.459621,6.665458,6.739678,-3.397372,6.512228,6.203377,-3.292027,6.421249,5.295974,Deer
-2.11408,6.873753,7.33344,-1.936909,6.6894,7.924808,-2.183512,6.07409,9.636662,-1.984793,7.230489,7.838616,-3.100491,6.215348,6.619968,-3.641581,5.221754,7.230489,-2.3535,6.263232,6.449979,-1.06542,6.473921,7.524976,-2.075773,5.81791,7.04853,-2.841918,6.038177,5.825093,Deer
-2.530671,6.169858,7.515399,-2.552219,6.081272,6.368577,-2.868254,5.985504,6.138733,-2.142811,6.687006,8.032547,-2.784456,6.258443,7.405266,-1.532289,6.572083,9.167398,-1.889025,6.641516,9.222465,-2.317587,5.841852,7.745243,-3.356671,5.279215,9.114726,-3.392584,5.571307,7.908048,Deer
-2.719813,5.93762,7.733272,-3.222595,6.095637,7.671022,-3.301604,4.582502,6.732495,-3.488352,4.845864,8.552089,-2.264915,5.825093,8.025364,-3.284845,5.363012,8.568848,-2.992752,5.33907,7.989451,-3.277662,4.72376,8.159439,-3.8403,4.565742,8.384495,-3.28245,5.078102,6.907272,Deer
-3.624821,5.65271,7.764396,-3.409343,4.994305,7.228095,-3.227384,5.11162,8.350976,-3.576937,5.058948,6.88333,-2.576161,5.0374,7.548918,-3.28245,5.240908,7.656657,-2.681506,4.900931,6.205771,-3.280056,4.1707,7.824251,-3.196259,4.479551,8.441956,-3.699042,4.654328,8.477868,Deer
-2.896984,6.969521,6.402095,-3.701436,7.184999,7.132327,-3.08852,7.026982,6.871359,-3.119645,6.514623,5.12838,-3.387795,6.229713,6.327875,-2.049437,6.294356,6.540959,-3.040636,6.246472,8.942344,-3.519476,5.774815,8.671799,-2.784456,6.179435,7.055712,-1.831564,5.616797,6.804321,Deer
